abaixo: abaixou, abaicha, abaicha-se
abrir: abrí, abro, abrur
acessório: acesório, assessorio, acessórioo
acentuar: acentuar, assentuar, ascentuar
acessível: acessivel, acesssível, accesível
acomodar: acomodar, acoomodar, acomodir
acordar: acordar, acoradar, acorda
acréscimo: acrescimo, acrécimo, acrésimo
adequado: adequado, adquado, adquado
adiante: adiante, adianti, adianta
admirar: admirar, adimirar, adimirir
adotar: adotar, adotir, adota
adquirir: adquirir, adquiri, adqurir
adulto: adulto, aduto, adluto
afirmar: afirmar, afermar, afirma
agir: agir, ajir, agri
agravar: agravar, agravir, agravair
aguentar: aguentar, aguêntar, aguêntair
alimentação: alimentação, alimetação, alimetnação
almoçar: almoçar, almochar, almoça
alugar: alugar, alugir, aluguair
amador: amador, amadorr, amadoro
amarelo: amarelo, amareloo, amarelho
amassar: amassar, amasar, amassa
amigo: amigo, amigoo, amgio
amor: amor, amoor, amorr
analisar: analisar, anlizar, anilisar
andar: andar, andir, andai
anexo: anexo, annexo, anexxo
aniversário: aniversário, aniverssário, aniverssario
ansiado: ansiado, ânsiado, ânziado
antecedente: antecedente, antecendente, antecidente
anunciar: anunciar, anunciir, anunciarir
apagado: apagado, apgao, apagadoo
aparente: aparente, apaarente, aparrente
aplicar: aplicar, aaplicar, aplicaar
apreciar: apreciar, apressiar, apreçiar
apresentar: apresentar, aprezentar, aprsentar
aprovar: aprovar, aprovir, aprovair
apto: apto, aptoo, aptoo
apurar: apurar, apurrar, apurair
após: após, apoz, apos
aquecer: aquecer, aqucer, aquecerir
arco-íris: arco-íris, arcoiris, arco iris
argumentar: argumentar, argumetar, argumantar
arranjar: arranjar, arranjir, arranjair
arrumar: arrumar, arumar, arruma
articular: articular, aritcular, artícular
aspirar: aspirar, aspilar, aspirair
assado: assado, asado, assadoo
